,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
373,SEA,"Seattle, WA",PHL,"Philadelphia, PA",9452.29
374,SEA,"Seattle, WA",PHX,"Phoenix, AZ",6332.46
375,SEA,"Seattle, WA",SEA,"Seattle, WA",19.33
376,SEA,"Seattle, WA",SFO,"San Francisco, CA",5255.05
377,SFO,"San Francisco, CA",ATL,"Atlanta, GA",14791.72
378,SFO,"San Francisco, CA",BOS,"Boston, MA",14109.15
379,SFO,"San Francisco, CA",CLT,"Charlotte, NC",15176.21
380,SFO,"San Francisco, CA",DEN,"Denver, CO",4913.62
381,SFO,"San Francisco, CA",DFW,"Dallas/Fort Worth, TX",9279.38
382,SFO,"San Francisco, CA",DTW,"Detroit, MI",7274.66
383,SFO,"San Francisco, CA",EWR,"Newark, NJ",9129.86
384,SFO,"San Francisco, CA",IAH,"Houston, TX",6140.13
385,SFO,"San Francisco, CA",JFK,"New York, NY",20294.78
386,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",3254.99
387,SFO,"San Francisco, CA",LAX,"Los Angeles, CA",4139.78
388,SFO,"San Francisco, CA",LGA,"New York, NY",293.0
389,SFO,"San Francisco, CA",MCO,"Orlando, FL",4717.06
390,SFO,"San Francisco, CA",MIA,"Miami, FL",13422.26
391,SFO,"San Francisco, CA",MSP,"Minneapolis, MN",4438.02
392,SFO,"San Francisco, CA",ORD,"Chicago, IL",13909.54
393,SFO,"San Francisco, CA",PHL,"Philadelphia, PA",11229.57
394,SFO,"San Francisco, CA",PHX,"Phoenix, AZ",3244.65
395,SFO,"San Francisco, CA",SEA,"Seattle, WA",4863.74
